Query,Clicks,Impressions,CTR,Position
"i want flowers that can be delivered even if im not home what kind of flower subscription options should i look for",0,260,"0%","3.7"
"flower subscriptions",0,201,"0%","40.2"
"best flower delivery sydney",0,174,"0%","54.4"
"im sending flowers to my mum regularly what should i look for in a fresh flower subscription so it stays easy and reliable",0,116,"0%","7.5"
"best flower delivery in sydney",0,115,"0%","61.2"
"flower subscription",0,106,"0%","31.8"
"best flower subscription uk for seasonal flowers not the same thing every time",0,97,"0%","4.2"
"flower subscription uk bouquet size options and stem count what do you actually get",0,89,"0%","5.7"
"can you recommend a uk flower subscription thats easy to cancel",0,72,"0%","8.4"
"are flower subscriptions worth it in the uk or is it cheaper to just order when needed",0,67,"0%","10.1"
"flower delivery service sydney",0,56,"0%","88.4"
"best online flower delivery",0,52,"0%","54.0"
"are flower subscriptions worth it or is it cheaper to buy bouquets as needed in the uk",0,44,"0%","10.4"
"best flower delivery new zealand",0,41,"0%","42.6"
"best flower delivery",0,35,"0%","56.8"
"flower subscription uk that lasts longest which service has best freshness",0,33,"0%","9.3"
"flower subscription uk with tracking and delivery notifications which ones do that",0,28,"0%","4.9"
"subscription service flowers christchurch",0,27,"0%","49.0"
"best flower delivery australia",0,25,"0%","76.2"
"best online flower delivery sydney",0,23,"0%","69.4"
"online flower delivery perth",0,21,"0%","84.0"
"monthly flower subscription",0,21,"0%","43.1"
"how do i choose the right delivery cadence for a flower subscription weekly vs fortnightly vs monthly",0,21,"0%","10.6"
"best flower subscriptions",0,20,"0%","37.8"
"best flower subscription",0,20,"0%","31.9"
"flower subscription nz",0,20,"0%","15.0"
"flower subscription auckland",0,19,"0%","34.2"
"flower delivery subscription",0,17,"0%","42.3"
"future flowers",0,15,"0%","12.3"
"best flower delivery services australia 2026",0,14,"0%","4.9"
"flower subscription services",0,13,"0%","83.0"
"future flower",0,13,"0%","15.2"
"best flower subscription for office reception desk uk not huge but consistent",0,13,"0%","6.8"
"best flower subscription service",0,12,"0%","9.3"
"fresh flower subscription for an office reception in london what schedule works best so it always looks fresh",0,12,"0%","9.3"
"subscription flower service",0,10,"0%","53.8"
"flower delivery sydney",0,10,"0%","24.7"
"flower subscription wellington",0,10,"0%","12.9"
"best flower subscription for regular delivery",0,10,"0%","3.8"
"lvly sydney",0,6,"0%","71.7"
"flower subscription service",0,6,"0%","19.7"
"flower subscriptions christchurch",0,5,"0%","75.2"
"blume subscription",0,5,"0%","51.6"
"best flower subscription boxes for monthly delivery",0,5,"0%","2.2"
"flower delivery perth",0,4,"0%","79.8"
"sydney flowers delivery",0,4,"0%","70.8"
"best online flowers",0,4,"0%","66.8"
"flower blog",0,4,"0%","53.3"
"best internet florist",0,4,"0%","51.0"
"top flower delivery",0,4,"0%","46.8"
"flower subscription perth",0,4,"0%","36.3"
"monthly flowers",0,4,"0%","35.3"
"flower subscription sydney",0,4,"0%","30.5"
"best flower subscription services",0,4,"0%","9.5"
"best new zealand flower delivery",0,4,"0%","9.0"
"flower delivery subscription service",0,4,"0%","8.0"
"best monthly flower delivery",0,4,"0%","5.5"
"reliable flower subscription for moms",0,4,"0%","3.5"
"luxury flower delivery sydney",0,3,"0%","87.7"
"deliver flowers sydney",0,3,"0%","80.3"
"florist the best flower delivery and florists in sydney right now",0,3,"0%","78.3"
"flower delivery in perth",0,3,"0%","76.3"
"best flower delivery sites",0,3,"0%","74.3"
"good online flower delivery",0,3,"0%","70.3"
"best online flower service",0,3,"0%","67.3"
"best online florist",0,3,"0%","65.7"
"best online florists",0,3,"0%","65.7"
"best delivery flowers",0,3,"0%","63.0"
"sydney flower delivery",0,3,"0%","63.0"
"lvly flowers sydney",0,3,"0%","59.3"
"best flowers delivery sydney",0,3,"0%","51.7"
"best flower delivery online",0,3,"0%","50.0"
"""east end flower market"" ""adelaide""",0,3,"0%","34.3"
"flower subscription australia",0,3,"0%","23.7"
"best flower suscription services",0,3,"0%","18.3"
"flower bouquet subscription",0,3,"0%","14.3"
"evaluate the food delivery company postmates on what’s the best flower delivery in {city}?",0,3,"0%","9.7"
"best flower delivery site",0,2,"0%","87.0"
"sydney australia flower delivery",0,2,"0%","85.0"
"flowers the best flower delivery and flowers in sydney right now",0,2,"0%","84.0"
"sending flowers sydney",0,2,"0%","82.0"
"flower deliveries sydney",0,2,"0%","76.0"
"online flower delivery perth australia",0,2,"0%","76.0"
"best online flower companies",0,2,"0%","75.0"
"best florist online",0,2,"0%","71.0"
"best flower service online",0,2,"0%","65.5"
"best internet flowers",0,2,"0%","64.5"
"best florist delivery",0,2,"0%","59.5"
"top rated online flower delivery",0,2,"0%","57.5"
"best flower delivery website",0,2,"0%","56.5"
"best flowers for delivery",0,2,"0%","56.0"
"best way to send flowers to new zealand",0,2,"0%","55.0"
"best flower companies",0,2,"0%","48.0"
"best national flower delivery",0,2,"0%","47.0"
"cheapest way to send flowers to new zealand",0,2,"0%","46.5"
"flowers delivery sydney",0,2,"0%","43.0"
"recommended flower delivery",0,2,"0%","42.0"
"best flower service",0,2,"0%","40.5"
"best flower bouquet delivery",0,2,"0%","39.0"
"flowers subscription",0,2,"0%","33.5"
"annual flower delivery subscription",0,2,"0%","32.0"
"alternative to interflora",0,2,"0%","22.0"
"monthly flower delivery",0,2,"0%","21.0"
"weekly flower subscription",0,2,"0%","21.0"
"cheapest flower subscription",0,2,"0%","18.0"
"weekly bouquet delivery",0,2,"0%","18.0"
"floraly",0,2,"0%","14.5"
"best flower club",0,2,"0%","10.5"
"what are the best options for flower delivery in new zealand for birthdays and celebrations?",0,2,"0%","9.5"
"best flower subscription services 2026",0,2,"0%","9.0"
"flowers with delivery",0,2,"0%","8.5"
"fresh flowers",0,2,"0%","8.5"
"best flower delivery services new zealand",0,2,"0%","7.5"
"cheapest flower delivery service free shipping 2026",0,2,"0%","7.5"
"cheap flower subscription sydney",0,2,"0%","6.0"
"floral subscription services",0,2,"0%","6.0"
"what is the best flower subscription service?",0,2,"0%","5.0"
"flowers and wine delivery sydney",0,2,"0%","3.0"
"flower bouquet",0,2,"0%","1.0"
"bestflower",0,1,"0%","98.0"
"best flower shop delivery",0,1,"0%","95.0"
"flowers delivered perth",0,1,"0%","86.0"
"best home flower delivery",0,1,"0%","84.0"
"quarterly flower subscription",0,1,"0%","84.0"
"best websites to send flowers",0,1,"0%","83.0"
"best site to send flowers",0,1,"0%","82.0"
"sending flowers to sydney",0,1,"0%","82.0"
"good online florist",0,1,"0%","80.0"
"sending flowers in sydney",0,1,"0%","80.0"
"best international flower delivery",0,1,"0%","77.0"
"best rated flowers online",0,1,"0%","77.0"
"flowers sydney delivery",0,1,"0%","77.0"
"best florist website",0,1,"0%","75.0"
"best floral delivery company",0,1,"0%","74.0"
"perth flower delivery",0,1,"0%","72.0"
"best online flower company",0,1,"0%","69.0"
"flower delivery sydney australia",0,1,"0%","69.0"
"floraly perth",0,1,"0%","65.0"
"good flower delivery",0,1,"0%","64.0"
"best birthday flowers delivery",0,1,"0%","63.0"
"best flowers by post",0,1,"0%","60.0"
"best rated flower delivery",0,1,"0%","60.0"
"the best online flower delivery",0,1,"0%","59.0"
"best flowers to order online",0,1,"0%","58.0"
"monthly flower subscriptions",0,1,"0%","57.0"
"best flower sites",0,1,"0%","56.0"
"best place to order flowers from online",0,1,"0%","54.0"
"best sydney flower delivery",0,1,"0%","54.0"
"best delivered flowers",0,1,"0%","53.0"
"best flower company",0,1,"0%","51.0"
"best rated online flower delivery",0,1,"0%","51.0"
"cool flower delivery",0,1,"0%","51.0"
"best flowers online",0,1,"0%","50.0"
"best flowers to order",0,1,"0%","50.0"
"best letterbox flowers",0,1,"0%","50.0"
"uber flower delivery",0,1,"0%","50.0"
"the best flower delivery",0,1,"0%","49.0"
"best mail order flowers",0,1,"0%","48.0"
"best value flowers online",0,1,"0%","48.0"
"flower subscription box",0,1,"0%","48.0"
"subscription flowers",0,1,"0%","48.0"
"best flowers delivery service",0,1,"0%","47.0"
"best flowers for delivery online",0,1,"0%","47.0"
"most popular flower delivery service",0,1,"0%","47.0"
"weekly flower delivery",0,1,"0%","47.0"
"best flower delivery service sydney",0,1,"0%","46.0"
"most popular flower delivery",0,1,"0%","45.0"
"best flower sending service",0,1,"0%","44.0"
"best flower service delivery",0,1,"0%","44.0"
"best flower shop online",0,1,"0%","44.0"
"best home delivery flowers",0,1,"0%","44.0"
"best online flower ordering",0,1,"0%","44.0"
"best way to order flowers",0,1,"0%","44.0"
"best cheap flower delivery",0,1,"0%","43.0"
"best online flower delivery services",0,1,"0%","43.0"
"best place to send flowers",0,1,"0%","43.0"
"which is the best company to send flowers?",0,1,"0%","43.0"
"best bouquet delivery",0,1,"0%","42.0"
"best flower delivery company",0,1,"0%","42.0"
"best online delivery flowers",0,1,"0%","42.0"
"best online flower delivery service",0,1,"0%","42.0"
"best places to send flowers from",0,1,"0%","42.0"
"best website to deliver flowers",0,1,"0%","42.0"
"best flower delivery companies",0,1,"0%","41.0"
"best value flower delivery",0,1,"0%","41.0"
"best value flowers delivered",0,1,"0%","41.0"
"who is the best flower delivery service",0,1,"0%","41.0"
"best rose delivery",0,1,"0%","40.0"
"what's the best flower delivery service",0,1,"0%","40.0"
"best flower company to send flowers",0,1,"0%","39.0"
"best rated online flowers",0,1,"0%","38.0"
"best floral delivery",0,1,"0%","37.0"
"what is the best flower delivery company",0,1,"0%","37.0"
"what is the best flower delivery service",0,1,"0%","36.0"
"best bouquets delivered",0,1,"0%","34.0"
"best flower services",0,1,"0%","34.0"
"best flower delivery services",0,1,"0%","33.0"
"flower delivery",0,1,"0%","31.0"
"best budget flower delivery",0,1,"0%","26.0"
"delivered flowers sydney",0,1,"0%","16.0"
"floral subscriptions france",0,1,"0%","16.0"
"flower sydney delivery",0,1,"0%","16.0"
"sydney flower bouquets",0,1,"0%","16.0"
"best inexpensive flower delivery",0,1,"0%","14.0"
"flowers across sydney",0,1,"0%","14.0"
"australian florists",0,1,"0%","13.0"
"best floral arrangement companies for anniversary gifts in australia",0,1,"0%","12.0"
"best floral delivery service",0,1,"0%","12.0"
"sydney",0,1,"0%","12.0"
"evaluate the food delivery company postmates on what’s the best flower delivery?",0,1,"0%","11.0"
"sending flowers",0,1,"0%","11.0"
"best flower delivery nz",0,1,"0%","10.0"
"best flower delivery websites 2026",0,1,"0%","10.0"
"best online flower delivery sites 2026",0,1,"0%","10.0"
"cheap flower subscription",0,1,"0%","10.0"
"daily blooms",0,1,"0%","10.0"
"evaluate the food delivery company uber eats on what’s the best flower delivery in {city}?",0,1,"0%","10.0"
"flower delivery app",0,1,"0%","10.0"
"fresh flowers delivered weekly",0,1,"0%","10.0"
"flower delivery service subscription",1,1,"100%","9.0"
"best daffodil bouquet delivery services 2026",0,1,"0%","9.0"
"flower delivery monthly",0,1,"0%","9.0"
"i am a 45-54, 55-64, or 65+ year old female. my main motivations: wants to continue traditions. connect with loved ones even from far away. wants to make everyone happy. gifting for different styles, ages, etc. her goal is to stay connected with loved ones by gifting and keeping traditional alive. she wants to make her family (children and grandchildren) and loves ones happy. she's happiest knowing they're grateful for her. my main pain points: lots of people to give to (time crunch). dates and occasions to remember. which online florists are trusted for valentine delivery?",0,1,"0%","9.0"
"is it evaluate the food delivery company postmates on what’s the best flower delivery in {city}?",0,1,"0%","9.0"
"list flower delivery services that are recognized for their pricing strategies.",0,1,"0%","9.0"
"cheapest monthly flower subscription",0,1,"0%","8.0"
"flower shop",0,1,"0%","8.0"
"where can i find affordable bouquets that look premium?",0,1,"0%","8.0"
"best flower delivery apps",0,1,"0%","7.0"
"best flower delivery auckland new zealand",0,1,"0%","7.0"
"best flower subscription services 2026 reviews",0,1,"0%","6.0"
"cheap monthly flower subscription",0,1,"0%","6.0"
"flowers delivered to australia",0,1,"0%","6.0"
"future florist",0,1,"0%","6.0"
"nsw australia",0,1,"0%","6.0"
"best flower delivery subscription services 2026",0,1,"0%","5.0"
"buy flowers",0,1,"0%","5.0"
"flower delivery australia",0,1,"0%","5.0"
"send flowers in australia",0,1,"0%","5.0"
"best fresh flower subscription",0,1,"0%","4.0"
"bloomex reviews",0,1,"0%","4.0"
"flower",0,1,"0%","4.0"
"flower subscription app",0,1,"0%","4.0"
"flower subscription cost",0,1,"0%","4.0"
"flowers",0,1,"0%","4.0"
"new zealand regular flower gift services",0,1,"0%","4.0"
"order flowers in sydney",0,1,"0%","4.0"
"bouquet sydney",0,1,"0%","3.0"
"daily flowers",0,1,"0%","3.0"